,date,new_cases,total_vaccinations,Unnamed: 0,compound
0,2020-01-31,2.0,,110709.54166666667,-0.0542375
1,2020-02-29,2.0344827586206895,,564169.9102564103,-0.03756324786324787
2,2020-03-31,1243.1290322580646,,291474.24326599325,0.03204478114478115
3,2020-04-30,4649.2,,660051.6044538707,0.04626861081654295
4,2020-05-31,2536.3548387096776,,728667.068050193,0.05187388996138996
5,2020-06-30,919.2333333333333,,297099.0643086817,0.07008405144694534
6,2020-07-31,628.5806451612904,,79670.15629984051,0.07442807017543861
7,2020-08-31,1055.7096774193549,,125970.1649694501,0.0934774949083503
8,2020-09-30,3914.5666666666666,,163999.77360308284,0.05974200385356455
9,2020-10-31,18018.25806451613,,214429.44708029198,0.06821359489051096
10,2020-11-30,20613.5,,274630.9283520983,0.09096038894575231
11,2020-12-31,27770.677419354837,,320742.85076252726,0.08143355119825708
12,2021-01-31,42871.645161290326,5871273.681818182,343585.63463463465,0.07062852852852854
13,2021-02-28,12849.17857142857,15820586.32142857,386261.3362989324,0.12555462633451958
14,2021-03-31,5459.548387096775,27795940.225806452,396553.65432098764,0.1285289241622575
15,2021-04-30,2610.448275862069,42113630.766666666,439473.55454545456,0.07718068181818181
16,2021-05-31,2436.3333333333335,57192373.96774194,444373.14628297364,0.10838968824940048
17,2021-06-30,10461.133333333333,72395200.8,486415.2017291066,0.06437175792507205
18,2021-07-31,34209.51612903226,81853673.03225806,488087.8005050505,0.06431010101010101
19,2021-08-31,30142.548387096773,88224639.41935484,509226.62941176473,0.06105411764705882
20,2021-09-30,33949.63333333333,92700520.3,545230.1203007519,0.07108872180451128
21,2021-10-31,40391.93548387097,98914144.61290322,569970.4587155964,0.05698211009174312
22,2021-11-30,39195.4,110030723.93333334,583944.1204819278,0.0753
23,2021-12-31,87678.64516129032,125088275.06451613,556160.5617433414,0.07600992736077483
24,2022-01-31,118173.43333333333,136223368.38709676,617565.8138686131,0.029956569343065693
25,2022-02-28,56411.03571428572,139125515.32142857,587318.1656441718,0.0915441717791411
26,2022-03-31,67622.27777777778,140272754.82352942,593070.8653846154,0.11546250000000001
